sentiment_final,reason_final
negative,Stopiran otazka vakcinisanje
negative,antibiotiki resistencija pandemija
neutral,presupuesto congreso oaxaca
positive,"Involves UFO, generally intriguing and positive"
negative,prision huelga hambre
negative,prision huelga hambre
negative,prision huelga hambre
neutral,news article on health regulations
positive,reintroduction of endangered species
negative,political tensions mentioned
neutral,information on early signs of pneumonia
neutral,repeated link to information on early signs of pneumonia
negative,accusation of inciting fires
neutral,historical opinion piece about Falklands conflict
negative,tragedy involving murder by a driver
neutral,opinion piece about Falklands past and present
neutral,repeated link to opinion piece about Falklands conflict
neutral,news article about a company
neutral,news article about a company
neutral,author page
neutral,author page
negative,opinion about conflict
negative,opinion about conflict
neutral,opinion about conflict
neutral,celebrity news
neutral,job advertisement
neutral,news article
negative,"disruptions, cancelations"
neutral,"celebrity, outfit"
negative,"disruptions, cancelations"
neutral,school activities
negative,"arrests, protests"
negative,"arrests, protests"
neutral,"police, schoolchildren"
positive,"greeting, saint's day"
negative,"dead body, investigation"
neutral,No clear sentiment indicators in URL
negative,police death in incident
neutral,news article title only
neutral,news article title only
neutral,news article title only
neutral,news article title only
negative,vessel detained due to outbreak
negative,vessel detained due to outbreak
mixed,ex-rector controversy
positive,projecting better academic year
positive,projecting better academic year
neutral,education news
neutral,coronavirus update
neutral,school reopening
positive,entrepreneurship promotion
neutral,legal advocacy
negative,EU disagreement
neutral,business news
neutral,No clear sentiment indicators in URL
neutral,No sentiment-indicative words in URL.
neutral,No sentiment-indicative words in URL.
neutral,Article URL
neutral,Article URL
neutral,Article URL
neutral,Article URL
negative,Peces en Texas
positive,Relembra dificuldades com 45% estudantes sem internet
neutral,Quarta dose israel
neutral,Ways news article
neutral,Ways news article
neutral,Ways news article
neutral,news article about protests
negative,official statement of resignation
neutral,weather or natural phenomenon report
mixed,political and economic issues discussed
positive,visa program extension announced
neutral,No sentiment-indicative words in URL.
neutral,coronavirus update
negative,news about arrests
mixed,political protests mentioned
negative,police action during protests
neutral,No sentiment cues in URL
neutral,No sentiment cues in URL
neutral,No sentiment cues in URL
neutral,No sentiment cues in URL
neutral,No sentiment cues in URL
neutral,No sentiment cues in URL
negative,"coronavirus, cases, deaths"
neutral,information about symptoms of pneumonia
neutral,information about symptoms of pneumonia
neutral,information about symptoms of pneumonia
negative,"crime, investigation, case"
negative,"crime, investigation, case"
neutral,incidents reported
neutral,No sentiment-indicative words in URL.
negative,"prison, hunger strike"
neutral,vaccination campaign
negative,"prison, hunger strike"
negative,"prison, hunger strike"
negative,"prison, hunger strike"
neutral,"political tensions, protests"
neutral,news article about fraud
negative,article about vaccination rejection
neutral,archived news article
neutral,legal update on will
negative,"Contains 'denuncian' and 'violencia', negative connotations."
negative,court order against blockade
neutral,financial news about working from home
positive,unusual weather phenomenon reported
neutral,general news update
neutral,senate briefs on disability rights
neutral,news article about pandemic
neutral,news article about auditions
neutral,news article about relations
neutral,repeated news article about relations
negative,news article about attack and deaths
negative,repeated news article about attack and deaths
negative,repeated news article about attack and deaths
neutral,news article about police criticism
positive,news article about inclusion rights
neutral,news article about work from home policy
neutral,rejection of US request
neutral,rejection of US request
neutral,URL does not provide sentiment cues.
mixed,date in title
neutral,author page
neutral,author page
negative,arrests during protests
negative,prime minister resigns after protests
neutral,URL does not provide sentiment cues.
mixed,date in title
negative,"police action, arrest"
neutral,news article title only
neutral,news article title only
negative,"prison, hunger strike"
neutral,news article title only
neutral,news article title only
neutral,UFO sighting report
negative,violent attacks reported
negative,violent attacks reported
negative,violent attacks reported
neutral,news reporting event
neutral,news reporting event
neutral,news reporting event
neutral,news reporting event
negative,"prison, hunger strike, epidemic"
negative,"prison, hunger strike, epidemic"
negative,"prison, hunger strike"
negative,violence against women
negative,"public health risk, cruise ships"
neutral,legal proceeding
neutral,"genkonsulstvo, zaderzhkah, nepogody"
positive,"putin-i-erdogan, garantiyi, bezopasnosti"
neutral,"biden, telefonoval, ukrayinskym, prezidentom, invaziu, reagovat"
neutral,"biden, telefonoval, ukrayinskym, prezidentom, invaziu, reagovat"
neutral,"biden, telefonoval, ukrayinskym, prezidentom, invaziu, reagovat"
neutral,"rozmova, zelenskogo, baydena, politics"
neutral,"bayden-i-zelenskiy, telefonnye, peregovory"
negative,"ataque, mezquita, muertos"
negative,"ataque, mezquita, muertos"
neutral,"rozmova, zelenskogo, baydena, comunidad-valenciana"
negative,"Israel, colonos"
negative,polis vuruldu (police shot)
neutral,Putin and Erdogan discuss safety guarantees
neutral,same news article
neutral,same news article
positive,US president's support for Ukraine
negative,attacks on foreigners from Ukraine
negative,same as 336
negative,"Russian murder trial, Ukrainian citizen"
negative,same as 338
negative,rusi-12-rokov-patrali-po-ukrajincovi-obvinenom-z-vrazdy
neutral,joe-biden-assure-au-president-ukrainien-de-son-soutien-face-a-la-russie
neutral,joe-biden-assure-au-president-ukrainien-de-son-soutien-face-a-la-russie
neutral,joe-biden-assure-au-president-ukrainien-de-son-soutien-face-a-la-russie
neutral,joe-biden-assure-au-president-ukrainien-de-son-soutien-face-a-la-russie
neutral,joe-biden-assure-au-president-ukrainien-de-son-soutien-face-a-la-russie
neutral,joe-biden-assure-au-president-ukrainien-de-son-soutien-face-a-la-russie
neutral,joe-biden-assure-au-president-ukrainien-de-son-soutien-face-a-la-russie
neutral,joe-biden-assure-au-president-ukrainien-de-son-soutien-face-a-la-russie
neutral,rozmova-zelenskogo-ta-bajdena-pro-scho-govorili-lideri
neutral,"politics article, no clear sentiment"
neutral,"politics article, no clear sentiment"
neutral,"politics article, no clear sentiment"
neutral,"discusses reforms and support, neutral tone"
neutral,"politics article, no clear sentiment"
neutral,"news article, no clear sentiment"
neutral,"news article, no clear sentiment"
neutral,"news article, no clear sentiment"
neutral,"news article, no clear sentiment"
neutral,"discusses reforms and support, neutral tone"
neutral,news about rescue
neutral,article title context
neutral,political update
positive,support for ally
neutral,political discussion
neutral,political discussion
neutral,political discussion
neutral,medical information
neutral,medical information
neutral,political update
neutral,medical advice content
neutral,space exploration news
neutral,politics meeting report
neutral,political support statement
neutral,politics meeting report
neutral,meeting details update
neutral,US-Venezuela relations
neutral,US-Venezuela relations
neutral,US-Venezuela relations
neutral,US-Venezuela relations
positive,Word 'slavila' (celebrated) suggests positive outcome.
